epoch,train_loss,train_acc,val_loss,val_acc
1,0.9580567639832404,0.7064950980392157,0.6070032306015491,0.8072415865384616
2,0.6099979551691636,0.8027726715686274,0.5169021897017956,0.8429987980769231
3,0.5522972542573424,0.8184742647058824,0.5093279592692852,0.8454026442307693
4,0.5508131397997632,0.8161764705882353,0.4923169668763876,0.8357872596153846
5,0.5221431565050986,0.8230698529411765,0.5082234609872103,0.8371394230769231
6,0.5179132271338912,0.8278952205882353,0.4943274985998869,0.8375901442307693
7,0.508230688671271,0.823452818627451,0.48173297196626663,0.8512620192307693
8,0.4992498541433437,0.8302696078431373,0.49769279174506664,0.8527644230769231
9,0.49937285124963404,0.8308057598039216,0.4992066081613302,0.8473557692307693
10,0.5006028697186825,0.8326439950980392,0.49436056800186634,0.8473557692307693
