epoch,train_loss,train_acc,val_loss,val_acc
1,0.8025730411162834,0.7330313267813268,0.5939168913755566,0.80703125
2,0.6001047382922957,0.8032094594594594,0.516534318216145,0.841015625
3,0.5348930616270412,0.8252457002457002,0.5346133252605796,0.829296875
4,0.5194065894116934,0.8252457002457002,0.5226667560636997,0.83828125
5,0.47916526894750994,0.8376842751842751,0.48892956459894776,0.84453125
6,0.4735797624806221,0.8443642506142506,0.4971830938011408,0.8453125
7,0.43666192731781145,0.8507371007371007,0.545635056681931,0.831640625
8,0.4159244469913862,0.8621775184275184,0.5536346510052681,0.84765625
9,0.40574349175580304,0.862331081081081,0.5537793580442667,0.838671875
10,0.39920102522985357,0.8683968058968059,0.5776070663705468,0.827734375
